"EA-Type"	"EA-Package"	"EA-Name"	"EA-GUID"	"EA-Parent"	"EA-Domain"	"EA-Domain-GUID"	"EA-Range"	"ap-label-nl"	"ap-definition-nl"	"ap-usageNote-nl"	"ap-codelist"	"external term"	"namespace"	"localname"	"type"	"domain"	"range"	"parent"	"min card"	"max card"
"Package"	""	"Gebied"	"{BA23F6ED-C78F-4d37-9EC8-50F12EFE6391}"	""	""	""	""	""	""	""	""	""	"http://data.vlaanderen.be/ns/"	"openbaardomein"	"http://www.w3.org/2002/07/owl#Ontology"	""	""	""	""	""
"CLASS"	"Model"	"Gebied"	"{6BD9DB61-84EF-42ec-A097-E9FA3C2F831A}"	""	""	""	""	"Gebied"	"Een ruimtelijke verzameling van objecten in de openbare ruimte die samen een hoofdfunctie hebben."	"De openbare ruimte wordt geïnterpreteerd zoals aangegeven in het GRB lexicon (AGIV): ""Ruimte die ten dienste staat van iedereen (algemeen belang), zonder beperking naar specifieke gemeenschappen. De openbare ruimte is principieel voor iedereen toegankelijk"". Voorbeeld: een stadspark is parkzone, om hiermee aan te duiden dat de zone is ontworpen is om recreatie en natuur samen te laten plaatsvinden. 
"	""	"true"	"http://data.vlaanderen.be/ns/openbaardomein#"	"Gebied"	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	""	""	""
"CLASS"	"Gebied"	"Begraafplaats"	"{9519D298-3B18-4090-ADB6-3A6BB210D524}"	"Gebied"	""	""	""	"Begraafplaats"	"Gebied waar stoffelijke resten van overledenen begraven, bijgezet of verstrooid worden, inclusief de gemeenschappelijk gebruikte ruimte."	""	""	"false"	"http://data.vlaanderen.be/ns/openbaardomein#"	"Begraafplaats"	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	"http://data.vlaanderen.be/ns/openbaardomein#Gebied"	""	""
"CLASS"	"Gebied"	"Natuur"	"{1C50CF84-B880-464c-BF9A-0F7698461142}"	"Gebied"	""	""	""	"Natuur"	"Gebied met een ecologische functie"	""	""	"false"	"http://data.vlaanderen.be/ns/openbaardomein#"	"Natuur"	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	"http://data.vlaanderen.be/ns/openbaardomein#Gebied"	""	""
"CLASS"	"Gebied"	"Bufferzone"	"{098EC4B1-8ACF-46b3-8B4D-611B576AB6A5}"	"Gebied"	""	""	""	"Bufferzone"	"Een bufferzone is een gebied noodzakelijk om de hinder met naastliggende gebieden te beperken, bijvoorbeeld tussen industrie en woonzone of park."	""	""	"false"	"http://data.vlaanderen.be/ns/openbaardomein#"	"Bufferzone"	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	"http://data.vlaanderen.be/ns/openbaardomein#Gebied"	""	""
"CLASS"	"Gebied"	"Groenzone"	"{ED34A857-8A64-4c34-99FE-94423F7B5663}"	"Gebied"	""	""	""	"Groenzone"	"Een gebied zonder specifieke functie."	"Een Groenzone onderscheid zich van Natuur omdat in dit laatste geval het gebied wel een specifieke ecologische functie heeft."	""	"false"	"http://data.vlaanderen.be/ns/openbaardomein#"	"Groenzone"	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	"http://data.vlaanderen.be/ns/openbaardomein#Gebied"	""	""
"CLASS"	"Gebied"	"Parking"	"{63BEE8C7-3834-4b0d-9936-64161A1FAA9F}"	"Gebied"	""	""	""	"Parking"	"Hoofdzakelijk buiten de rijbaan gelegen zone, bedoeld voor het langdurig laten stilstaan van een voertuig in parkeervakken, inclusief de gemeenschappelijk gebruikte ruimte van de zone die buiten de parkeervakken."	""	""	"false"	"http://data.vlaanderen.be/ns/openbaardomein#"	"Parking"	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	"http://data.vlaanderen.be/ns/openbaardomein#Gebied"	""	""
"CLASS"	"Gebied"	"Park"	"{F127D06C-A004-4350-BB49-948969681404}"	"Gebied"	""	""	""	"Park"	"Een onbebouwde en openbare ruimte omgeven door gebouwen en maakt deel uit van het stratennet van een stad of dorp"	"Indien een verdere detaillering van parken gewenst is, bijvoorbeeld op basis van hun oppervlakte, kan gekeken worden naar de drempelwaarden voor stedelijk groen zoals gedefinieerd in het Milieurapport Vlaanderen (MIRA)."	""	"false"	"http://data.vlaanderen.be/ns/openbaardomein#"	"Park"	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	"http://data.vlaanderen.be/ns/openbaardomein#Gebied"	""	""
"CLASS"	"Gebied"	"Plein"	"{451EB38A-425E-40fb-893D-53B693D49CEB}"	"Gebied"	""	""	""	"Plein"	"Een onbebouwde en openbare ruimte, typisch omgeven door gebouwen, dat deel uitmaakt van het stratennet van een stad of gemeente."	"Op een plein kunnen diverse activiteiten doorgaan, in aanvulling op de verkeersfunctie."	""	"false"	"http://data.vlaanderen.be/ns/openbaardomein#"	"Plein"	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	"http://data.vlaanderen.be/ns/openbaardomein#Gebied"	""	""
"CLASS"	"Gebied"	"Recreatiegebied"	"{EA7394D1-D5FA-4298-87F2-0E5482B0C27D}"	"Gebied"	""	""	""	"Recreatiegebied"	"Een gebied met hoofdzakelijk een recreatieve functie, waaronder ook sport en spel."	""	""	"false"	"http://data.vlaanderen.be/ns/openbaardomein#"	"Recreatiegebied"	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	"http://data.vlaanderen.be/ns/openbaardomein#Gebied"	""	""
"CLASS"	"Gebied"	"Recyclagepark"	"{E077FF55-A0DB-4dee-94E8-AF6D27BE4F1A}"	"Gebied"	""	""	""	"Recyclagepark"	"Zone waar particulieren en KMO's hun afval gescheiden kunnen inzamelen en deponeren."	""	""	"false"	"http://data.vlaanderen.be/ns/openbaardomein#"	"Recyclagepark"	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	"http://data.vlaanderen.be/ns/openbaardomein#Gebied"	""	""
"CLASS"	"Gebied"	"Spoorweg"	"{636C1883-569C-42f9-B2CF-671BFD045C5B}"	"Gebied"	""	""	""	"Spoorweg"	"Zone bedoeld om hoofdzakelijk treinverkeer te kunnen laten plaatsvinden, inclusief de gebieden die de spoorinfrastructuur ondersteunen (vb: spoorbermen)"	""	""	"false"	"http://data.vlaanderen.be/ns/openbaardomein#"	"Spoorweg"	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	"http://data.vlaanderen.be/ns/openbaardomein#Gebied"	""	""
"CLASS"	"Gebied"	"Wegzone"	"{B114EE28-FAD6-4716-A0EC-AF860B823856}"	"Gebied"	""	""	""	"Wegzone"	"Gebied bedoeld om hoofdzakelijk voet-, fiets- en/of motorisch verkeer te kunnen laten plaatsvinden."	""	""	"false"	"http://data.vlaanderen.be/ns/openbaardomein#"	"Wegzone"	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	"http://data.vlaanderen.be/ns/openbaardomein#Gebied"	""	""
