"EA-Type"	"EA-Package"	"EA-Name"	"EA-GUID"	"EA-Parent"	"EA-Domain"	"EA-Domain-GUID"	"EA-Range"	"ap-label-nl"	"ap-definition-nl"	"ap-usageNote-nl"	"ap-codelist"	"external term"	"namespace"	"localname"	"type"	"domain"	"range"	"parent"	"min card"	"max card"
"Package"	""	"InfrastructuurElement"	"{0CC5D848-9F48-41d6-BE9F-02A10B8AD907}"	""	""	""	""	""	""	""	""	""	"http://data.vlaanderen.be/ns/"	"infrastructuur"	"http://www.w3.org/2002/07/owl#Ontology"	""	""	""	""	""
"CLASS"	"InfrastructuurElement"	"Infrastructuurelement"	"{BE978AD9-6EC3-4227-80B7-7D4FE8305601}"	"Element"	""	""	""	"Infrastructuurelement"	"TODO"	""	""	"false"	"http://data.vlaanderen.be/ns/infrastructuur#"	"Infrastructuurelement"	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	"http://data.vlaanderen.be/ns/openbaardomein#Element"	""	""
"CLASS"	"Model"	"Element"	"{A8C3620F-8AC9-4df1-8B9A-838A9043531F}"	"Object"	""	""	""	"Element"	"Afzonderlijk te onderscheiden element dat ofwel direct of indirect bevestigd is aan het aardoppervlak."	""	""	"true"	"http://data.vlaanderen.be/ns/openbaardomein#"	"Element"	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	"http://data.vlaanderen.be/ns/openbaardomein#Object"	""	""
"CLASS"	"Model"	"Object"	"{0C707DB5-1D87-4604-8A06-36F07898FB03}"	""	""	""	""	"Object"	"De hoofdklasse waar alle objecten die geïnventariseerd kunnen worden van afgeleid worden."	""	""	"true"	"http://data.vlaanderen.be/ns/openbaardomein#"	"Object"	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	""	""	""
"CLASS"	"InfrastructuurElement"	"Afsluiting"	"{A7D0ABAE-1A43-46cf-B049-FD812E726FC1}"	"Infrastructuurelement"	""	""	""	"Afsluiting"	"Op het terrein ondubbelzinnig aanwijsbare en permanent verankerde scheiding."	"Bron object: GRB AFS: Afsluiting"	""	"false"	"http://data.vlaanderen.be/ns/infrastructuur#"	"Afsluiting"	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	"http://data.vlaanderen.be/ns/infrastructuur#Infrastructuurelement"	""	""
"CLASS"	"InfrastructuurElement"	"Deksel"	"{85234889-E08C-4c23-AA7E-66E15185B949}"	"Infrastructuurelement"	""	""	""	"Deksel"	"Een deksel of luik van ondergrondse leidingen en installaties."	""	""	"false"	"http://data.vlaanderen.be/ns/infrastructuur#"	"Deksel"	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	"http://data.vlaanderen.be/ns/infrastructuur#Infrastructuurelement"	""	""
"CLASS"	"InfrastructuurElement"	"Nutskast"	"{D50BB4A0-BFD9-4588-B406-49E9E801CE69}"	"Infrastructuurelement"	""	""	""	"Nutskast"	"Een voor de mens niet-toegankelijke bovengrondse en beschermende ombouw waarin elektrische onderdelen en installaties, noodzakelijk voor de distributie van gas, elektriciteit en communicatiesignalen, worden ondergebracht (algemeen)."	""	""	"false"	"http://data.vlaanderen.be/ns/infrastructuur#"	"Nutskast"	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	"http://data.vlaanderen.be/ns/infrastructuur#Infrastructuurelement"	""	""
"CLASS"	"InfrastructuurElement"	"Nutspaal"	"{DDDCD57B-ED48-473d-84CC-784E488CA126}"	"Infrastructuurelement"	""	""	""	"Nutspaal"	"Paal van de elektriciteitsleiding, telefoon, bovenleiding van trolley- of spoorinstallaties, verlichting, flitspaal, verkeerslichten en seinverlichting NMBS-overgang. Palen behorende bij de wegbaan (WBN), waarvan het contact met het grondoppervlak onvoldoende groot is om hen als lijn, veelhoek of cirkel te karteren."	"Bron definitie: GRB WPI1: Paal"	""	"false"	"http://data.vlaanderen.be/ns/infrastructuur#"	"Nutspaal"	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	"http://data.vlaanderen.be/ns/infrastructuur#Infrastructuurelement"	""	""
"CLASS"	"InfrastructuurElement"	"Rooster"	"{D76203DC-0B63-4e7f-AC77-DCA9C691652C}"	"Infrastructuurelement"	""	""	""	"Rooster"	"Een rooster is een civieltechnische constructie, anders dan gebouw, opgetrokken uit duurzame materialen, en zichtbaar aan het aardoppervlak."	""	""	"false"	"http://data.vlaanderen.be/ns/infrastructuur#"	"Rooster"	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	"http://data.vlaanderen.be/ns/infrastructuur#Infrastructuurelement"	""	""
"CLASS"	"InfrastructuurElement"	"Sensor"	"{317F7190-4AE5-48e6-A622-C4FBE6A8881E}"	"Infrastructuurelement"	""	""	""	"Sensor"	"Meettoestel bedoeld om iets waar te nemen."	""	""	"false"	"http://data.vlaanderen.be/ns/infrastructuur#"	"Sensor"	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	"http://data.vlaanderen.be/ns/infrastructuur#Infrastructuurelement"	""	""
