"EA-Type"	"EA-Package"	"EA-Name"	"EA-GUID"	"EA-Parent"	"EA-Domain"	"EA-Domain-GUID"	"EA-Range"	"ap-label-nl"	"ap-definition-nl"	"ap-usageNote-nl"	"ap-codelist"	"external term"	"namespace"	"localname"	"type"	"domain"	"range"	"parent"	"min card"	"max card"
"Package"	""	"VegetatieElement"	"{99D19FFB-4A48-4801-8B07-70BB6FF81568}"	""	""	""	""	""	""	""	""	""	"http://data.vlaanderen.be/ns/"	"vegetatie"	"http://www.w3.org/2002/07/owl#Ontology"	""	""	""	""	""
"CLASS"	"VegetatieElement"	"Boomvorm"	"{8CF872B2-4D21-4e9d-8CF0-2E4FB09F4E7E}"	"VegetatieElement"	""	""	""	"Boomvorm"	"Individueel te onderscheiden vegetatie-element. Een boom is een overblijvende plant met een verhoute stam en een kroon (kruin)."	""	""	"false"	"http://data.vlaanderen.be/ns/vegetatie#"	"Boomvorm"	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	"http://data.vlaanderen.be/ns/vegetatie#VegetatieElement"	""	""
"CLASS"	"VegetatieElement"	"VegetatieElement"	"{52FD4FDA-B761-4088-B40A-A6CA79215492}"	"Element"	""	""	""	"Vegetatie Element"	"TODO"	""	""	"false"	"http://data.vlaanderen.be/ns/vegetatie#"	"VegetatieElement"	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	"http://data.vlaanderen.be/ns/openbaardomein#Element"	""	""
"CLASS"	"VegetatieElement"	"Plantbakvorm"	"{438E0A15-B91A-47c6-A0F3-021E27D517D8}"	"VegetatieElement"	""	""	""	"Plantbakvorm"	"Beplanting die niet in volle grond werd aangebracht, maar in bakvorm."	""	""	"false"	"http://data.vlaanderen.be/ns/vegetatie#"	"Plantbakvorm"	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	"http://data.vlaanderen.be/ns/vegetatie#VegetatieElement"	""	""
"CLASS"	"VegetatieElement"	"Klimvorm"	"{721B8F8E-51CF-4432-9312-03685236CACB}"	"VegetatieElement"	""	""	""	"Klimvorm"	"Plant met buigzame stengels die zich aan muren, bomen, enz. hecht en zodoende omhoog klimt."	""	""	"false"	"http://data.vlaanderen.be/ns/vegetatie#"	"Klimvorm"	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	"http://data.vlaanderen.be/ns/vegetatie#VegetatieElement"	""	""
"ENUMERATION"	"Codelijsten"	"BoomvormconditieKlassen"	"{B1F94142-23DA-4dfa-93FC-F534B7A2BBCA}"	""	""	""	""	""	"TODO"	""	""	"true"	"http://www.w3.org/2004/02/skos/core#"	"Concept"	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	""	""	""
"CLASS"	"VegetatieElement"	"Plantbak"	"{C176CDA5-8EAD-4218-BAC1-DD570E564D27}"	"Plantbakvorm"	""	""	""	"Plantbak"	"Bak waarin planten in kuntsmatig aangevoerde grond worden geplant."	""	""	"false"	"http://data.vlaanderen.be/ns/vegetatie#"	"Plantbak"	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	"http://data.vlaanderen.be/ns/vegetatie#Plantbakvorm"	""	""
"CLASS"	"VegetatieElement"	"Bloemenmand"	"{D518730F-2DA7-46b6-A7DA-9DADC2CDC66C}"	"Plantbakvorm"	""	""	""	"Bloemenmand"	"Plantbak die doelbewust verhoogd opgehangen wordt."	""	""	"false"	"http://data.vlaanderen.be/ns/vegetatie#"	"Bloemenmand"	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	"http://data.vlaanderen.be/ns/vegetatie#Plantbakvorm"	""	""
"CLASS"	"VegetatieElement"	"Bloementoren"	"{E9D88BF1-8306-4b8e-98CF-B564FB8F9B4A}"	"Plantbakvorm"	""	""	""	"Bloementoren"	"Torenvormige constructie door een combinatie van individuele plantbakken."	""	""	"false"	"http://data.vlaanderen.be/ns/vegetatie#"	"Bloementoren"	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	"http://data.vlaanderen.be/ns/vegetatie#Plantbakvorm"	""	""
"CLASS"	"VegetatieElement"	"VrijUitgroeiendeBoom"	"{5D344318-C369-4baa-8301-E5BBD033FDFB}"	"OpgaandeBoom"	""	""	""	"Vrij uitgroeiende boom"	"Een vrij uitgroeiende boom heeft zich op volstrekt natuurlijke wijze uitgezaaid en zijn groeivorm is bepaald door de natuurlijke groeiomstandigheden (bv. natuurlijke snoei). "	""	""	"false"	"http://data.vlaanderen.be/ns/vegetatie#"	"VrijUitgroeiendeBoom"	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	"https://id.erfgoed.net/thesauri/erfgoedtypes/1607"	""	""
"CLASS"	"VegetatieElement"	"NietVrijUitgroeiendeBoom"	"{4A55219D-AFD1-41c4-911C-349BA411A199}"	"OpgaandeBoom"	""	""	""	"Niet vrij uitgroeiende boom"	"Een niet vrij uitgroeiende boom ontstond in kunstmatige omstandigheden, de groeivorm bepaald door de jeugdsnoei in de kwekerij en het eindbeeld van de boom is bepaald door de begeleidingssnoei die wordt uitgevoerd vanaf het planten."	""	""	"false"	"http://data.vlaanderen.be/ns/vegetatie#"	"NietVrijUitgroeiendeBoom"	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	"https://id.erfgoed.net/thesauri/erfgoedtypes/1607"	""	""
"CLASS"	"VegetatieElement"	"Vormboom"	"{E4875EFA-4922-4a84-BEB8-31276A6AFFAA}"	"Boomvorm"	""	""	""	"Vormboom"	"Een topiary is een kunstmatig gevormde boom die geleid en gesnoeid is in diverse geometrische, fantasie- of diervormen. De vorm wordt bepaald bij het jonge plantgoed en tijdens de eerste vormsnoei van de gesteltakken. Het beheer wordt uitgevoerd in periodieke scheerbeurten, één of meerdere keren per jaar."	""	""	"false"	"http://data.vlaanderen.be/ns/vegetatie#"	"Vormboom"	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	"http://data.vlaanderen.be/ns/vegetatie#Boomvorm"	""	""
"CLASS"	"VegetatieElement"	"GekandelaardeBoom"	"{69008DC6-5048-4cbe-A3F9-C42C01F7A80E}"	"Vormboom"	""	""	""	"Gekandelaarde boom"	"Een gekandelaarde boom is een boom waarvan alle gesteltakken op een bepaalde lengte worden afgezet en die hierop opnieuw uitlopen."	""	""	"true"	"https://id.erfgoed.net/thesauri/erfgoedtypes/1609"	""	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	"http://data.vlaanderen.be/ns/vegetatie#Vormboom"	""	""
"CLASS"	"VegetatieElement"	"GeschorenBoom"	"{32B2FC25-2D26-4bb3-9F6E-5FFF789173A8}"	"Vormboom"	""	""	""	"Geschoren boom"	"Bomen waarvan de kruinen zijn geschoren. De vorm werd bepaald bij de eerste vormsnoei van de gesteltakken en werd uitgevoerd op jonge bomen. Het beheer wordt uitgevoerd in periodieke scheerbeurten, één of meerdere keren per jaar."	"Definitie naar begrippenlijst landschap van Vlaams agentschap Onroerend Erfgoed."	""	"false"	"http://data.vlaanderen.be/ns/vegetatie#"	"GeschorenBoom"	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	"http://data.vlaanderen.be/ns/vegetatie#Vormboom"	""	""
