"EA-Type"	"EA-Package"	"EA-Name"	"EA-GUID"	"EA-Parent"	"EA-Domain"	"EA-Domain-GUID"	"EA-Range"	"ap-label-nl"	"ap-definition-nl"	"ap-usageNote-nl"	"ap-codelist"	"external term"	"namespace"	"localname"	"type"	"domain"	"range"	"parent"	"min card"	"max card"
"Package"	""	"OSLO-Gebouw"	"{BC870E7F-6006-4c64-9687-0A47FCE01F97}"	""	""	""	""	""	""	""	""	""	"http://data.vlaanderen.be/ns/"	"gebouw"	"http://www.w3.org/2002/07/owl#Ontology"	""	""	""	""	""
"DATATYPE"	"OSLO-Generiek"	"Polygoon"	"{53132CE2-169A-4f99-A375-6289F37B1B63}"	"Geometrie"	""	""	""	"Polygoon"	"Oppervlak bestaande uit 1 buitengrens en 0 of meer binnengrenzen. Elke binnengrens vormt een gat in de polygoon."	"De grenzen zijn zgn lineaire ringen, ttz het zijn gesloten (niet zelfsnijdende) lijnstringen. De buitengrens wordt onderscheiden vd binnengrens door resp de kloksgewijze en tegenkloksgewijze richting waarin de ring loopt."	""	"true"	"http://www.opengis.net/ont/sf#"	"Polygon"	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	"http://www.w3.org/ns/locn#Geometry"	""	""
"DATATYPE"	"OSLO-Generiek"	"Geometrie"	"{9E16C602-CB7A-4841-8871-EDFAE9E9D52E}"	""	""	""	""	"Geometrie"	"Vorm- en positiekenmerken van een object."	"Beschrijft deze kenmerken dmv punten, lijnen, polygonen en coördinaten."	""	"true"	"http://www.w3.org/ns/locn#"	"Geometry"	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	""	""	""
"ENUMERATION"	"OSLO-Generiek"	"GeometrieSpecificatieWaarde"	"{26CB5B9B-E287-4d39-9FEA-835F68262036}"	""	""	""	""	""	"TODO"	""	"http://inspire.ec.europa.eu/codelist/HorizontalGeometryReferenceValue"	"true"	"http://www.w3.org/2004/02/skos/core#"	"Concept"	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	""	""	""
"DATATYPE"	"OSLO-Gebouw"	"2DGebouwgeometrie"	"{BAE7D480-C31F-4caf-8F9C-B3A6B9662539}"	""	""	""	""	"2D Gebouwgeometrie"	"Geometrie van het gebouw en metadata over welk deel van het gebouw door de geometrie wordt voorgesteld en hoe deze werd bepaald."	""	""	"false"	"http://data.vlaanderen.be/ns/gebouw#2"	"DGebouwgeometrie"	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	""	""	""
"ENUMERATION"	"OSLO-Adres"	"Locatieaanduidingtype"	"{84937E1A-F2DE-4345-A5EC-4BF3327E376B}"	""	""	""	""	"Locatieaanduidingtype"	"Aard vd locatieaanduiding."	""	"http://inspire.ec.europa.eu/codelist/LocatorDesignatorTypeValue"	"true"	"http://www.w3.org/2004/02/skos/core#"	"Concept"	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	""	""	""
"DATATYPE"	"OSLO-Adres"	"Locatieaanduiding"	"{E4D59F82-1939-4bf4-A83A-537F3649B657}"	""	""	""	""	"Locatieaanduiding"	"Alfanumerieke code die een adreslocator uniek identificeert binnen de straat, administratieve eenheid etc."	""	""	"true"	"http://data.vlaanderen.be/ns/adres#"	"Locatieaanduiding"	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	""	""	""
"DATATYPE"	"OSLO-Generiek"	"Gebeurtenisdatum"	"{01776F9B-E88D-4847-B58C-733F3F0F7138}"	""	""	""	""	"Gebeurtenisdatum"	"Datum waarop een gebeurtenis plaatsvond evt op een alternatieve manier beschreven."	""	""	"true"	"http://data.vlaanderen.be/ns/generiek#"	"Gebeurtenisdatum"	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	""	""	""
"ENUMERATION"	"OSLO-Gebouw"	"ConstructieStatusWaarde"	"{9E394651-FB80-4b9b-8E7F-3E375CA1E779}"	""	""	""	""	""	"Waarden die de status van een constructie weergeven."	""	""	"true"	"http://www.w3.org/2004/02/skos/core#"	"Concept"	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	""	""	""
"ENUMERATION"	"OSLO-Generiek"	"GeometrieMethodeWaarde"	"{D0091AA3-031F-4cd7-B833-2BB99D345894}"	""	""	""	""	""	"TODO"	""	""	"true"	"http://www.w3.org/2004/02/skos/core#"	"Concept"	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	""	""	""
"ENUMERATION"	"OSLO-Gebouw"	"FunctieCode"	"{1E94179E-D055-46e5-A26B-FB8FA4D826A4}"	""	""	""	""	""	"Waarden die het huidig gebruik weergeven."	""	""	"true"	"http://www.w3.org/2004/02/skos/core#"	"Concept"	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	""	""	""
"DATATYPE"	"OSLO-Adres"	"Adresvoorstelling"	"{19C4CCEB-DE9B-49b8-BF5B-1EA9814E0F75}"	""	""	""	""	"Adresvoorstelling"	"Meer leesbare voorstelling met enkel de basisgegevens van het adres, bedoeld voor het gebruik van een adres als attribuut van een ander object."	""	""	"true"	"http://www.w3.org/ns/locn#"	"Address"	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	""	""	""
"CLASS"	"OSLO-Adres"	"Adres"	"{3D912296-9023-438f-B59F-731506067392}"	""	""	""	""	"Belgisch Adres"	"Informatie die toelaat om op een gestructureerde en unieke manier te verwijzen naar een gebouweenheid, een ligplaats, een standplaats of een perceel op basis van een gemeentenaam, een straatnaam, een huisnummer en eventueel een busnummer en een postcode."	""	""	"true"	"http://data.vlaanderen.be/ns/adres#"	"Adres"	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	"http://www.w3.org/2000/01/rdf-schema#Resource"	""	""
"CLASS"	"OSLO-Adres"	"AdresseerbaarObject"	"{46F15977-58C2-4a05-866E-287653FD8B36}"	""	""	""	""	"Adresseerbaar Object"	"Geografisch object dat met een adres kan worden geïdentificeerd."	""	""	"true"	"http://data.vlaanderen.be/ns/adres#"	"AdresseerbaarObject"	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	""	""	""
"CLASS"	"OSLO-Gebouw"	"Gebouw"	"{5CB095C5-F580-4bdf-9B0A-5E6591692CA7}"	""	""	""	""	"Gebouw"	"Een gesloten en/of overdekt, bovengronds of ondergronds bouwwerk, dat dient of bestemd is, ofwel om mensen, dieren en voorwerpen onder te brengen, ofwel om economische goederen te vervaardigen of diensten te verstrekken. Een gebouw verwijst naar gelijk welke structuur die op blijvende wijze op een terrein opgetrokken of gebouwd wordt."	""	""	"false"	"http://data.vlaanderen.be/ns/gebouw#"	"Gebouw"	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	"http://www.w3.org/2000/01/rdf-schema#Resource"	""	""
"CLASS"	"OSLO-Gebouw"	"Gebouweenheid"	"{D660A66E-C55C-49d5-A9E7-804AF38256A7}"	"AdresseerbaarObject"	""	""	""	"Gebouweenheid"	"De kleinste eenheid binnen een gebouw die geschikt is voor woon-, bedrijfsmatige, of recreatieve doeleinden en die ontsloten wordt via een eigen afsluitbare toegang vanaf de openbare weg, een erf of een gedeelde circulatieruimte. Een gebouweenheid is in functioneel opzicht zelfstandig. Daarnaast kan een gebouweenheid ook een gemeenschappelijk deel zijn."	""	""	"false"	"http://data.vlaanderen.be/ns/gebouw#"	"Gebouweenheid"	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	"http://www.w3.org/2000/01/rdf-schema#Resource, http://data.vlaanderen.be/ns/adres#AdresseerbaarObject"	""	""
"CLASS"	"OSLO-Perceel"	"Perceel"	"{45BF782C-BB10-4139-9761-2A3941852129}"	"AdresseerbaarObject"	""	""	""	"Perceel"	"Deel van het grondgebied officieel vastgesteld met een kadastraal of administratief doel."	""	""	"true"	"http://fixme.com#"	"Perceel"	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	"http://www.w3.org/2000/01/rdf-schema#Resource, http://data.vlaanderen.be/ns/adres#AdresseerbaarObject"	""	""
