"EA-Type"	"EA-Package"	"EA-Name"	"EA-GUID"	"EA-Parent"	"EA-Domain"	"EA-Domain-GUID"	"EA-Range"	"ap-label-nl"	"ap-definition-nl"	"ap-usageNote-nl"	"ap-codelist"	"external term"	"namespace"	"localname"	"type"	"domain"	"range"	"parent"	"min card"	"max card"
"Package"	""	"Mandaat"	"{041C3F7C-8C74-4cbb-BBB8-B780DBAA639F}"	""	""	""	""	""	""	""	""	""	"http://data.vlaanderen.be/ns/"	"mandaat"	"http://www.w3.org/2002/07/owl#Ontology"	""	""	""	""	""
"CLASS"	"Mandaat"	"Mandataris"	"{A14BEC8F-6274-46d4-BF89-C45B752F8858}"	""	""	""	""	"Mandataris"	"Een persoon in zijn rol als houder van een mandaat."	""	""	"false"	"http://data.vlaanderen.be/ns/mandaat#"	"Mandataris"	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	"http://xmlns.com/foaf/0.1/Agent"	""	""
"CLASS"	"Mandaat"	"Fractie"	"{18B51B3E-9C80-4274-8EEF-57C21590E824}"	""	""	""	""	"Fractie"	"Een fractie is een deel van een rechtstreeks verkozen volksvertegenwoordigend orgaan waarvan de leden op inhoudelijk en logistiek vlak willen samenwerken. Het formeel kader bepaalt wie samen een fractie kan vormen, doorgaans bestaat ze uit volksvertegenwoordigers die tot dezelfde politieke partij of stroming behoren."	""	""	"false"	"http://data.vlaanderen.be/ns/mandaat#"	"Fractie"	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	"http://www.w3.org/ns/org#Organization"	""	""
"CLASS"	"Mandaat"	"Bestuursorgaan"	"{9414C7EF-A084-4d7f-B622-670DB20AF2E9}"	""	""	""	""	"Bestuursorgaan"	"Een formeel orgaan van een rechtspersoon dat bevoegd is om rechtshandelingen te stellen."	""	""	"false"	"http://data.vlaanderen.be/ns/mandaat#"	"Bestuursorgaan"	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	"http://www.w3.org/ns/org#Organization"	""	""
"CLASS"	"Mandaat"	"Bestuurseenheid"	"{212F26D9-2BD1-46e1-A1DB-40EA5638F451}"	""	""	""	""	"Bestuurseenheid"	"Publieke, bestuurlijke organisatie verbonden aan een territoriaal omschreven gebied met bepaalde verantwoordelijkheden waarbinnen het bestuurshandelingen kan stellen."	""	""	"false"	"http://data.vlaanderen.be/ns/mandaat#"	"Bestuurseenheid"	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	"http://data.europa.eu/m8g/PublicOrganisation"	""	""
"CLASS"	"Mandaat"	"Tijdsgebonden Entiteit"	"{AC127E03-BD5C-4203-9F84-A4F942676291}"	"Entiteit"	""	""	""	"Tijdsgebonden Entiteit"	"Stelt een entiteit voor gedurende een specifieke periode van zijn levensduur."	""	""	"false"	"http://data.vlaanderen.be/ns/mandaat#"	"TijdsgebondenEntiteit"	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	"http://www.w3.org/ns/prov#Entity"	""	""
"CLASS"	"Mandaat"	"Mandaat"	"{471DA17A-A5AD-4881-9579-FDE259FBFC91}"	""	""	""	""	"Mandaat"	"De bevoegdheid om gedurende een bepaalde periode een bestuursorgaan te vormen of er deel van uit te maken;"	""	""	"false"	"http://data.vlaanderen.be/ns/mandaat#"	"Mandaat"	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	"http://www.w3.org/ns/org#Post"	""	""
"CLASS"	"Mandaat"	"Verkiezingsresultaat"	"{4B596780-9CF5-4162-838C-8689DC9068FC}"	""	""	""	""	"Verkiezingsresultaat"	"Individuele verkiezingsuitslag van een kandidaat."	""	""	"false"	"http://data.vlaanderen.be/ns/mandaat#"	"Verkiezingsresultaat"	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	""	""	""
"CLASS"	"Mandaat"	"Kandidatenlijst"	"{EF63460F-7ABE-4d92-8D6C-5D8F19550C9B}"	""	""	""	""	"Kandidatenlijst"	"Lijst met kandidaten."	""	""	"false"	"http://data.vlaanderen.be/ns/mandaat#"	"Kandidatenlijst"	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	""	""	""
"CLASS"	"Mandaat"	"Rechtstreekse Verkiezing"	"{D5BC90A0-10C4-4830-AB58-4CF954F811E4}"	""	""	""	""	"Rechtstreekse Verkiezing"	"De uitvoering van een formele procedure waarbij stemgerechtigde burgers bepalen aan welke persoon een mandaat kan worden toegekend."	""	""	"false"	"http://data.vlaanderen.be/ns/mandaat#"	"RechtstreekseVerkiezing"	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	"http://www.w3.org/ns/prov#Activity"	""	""
"CLASS"	"Mandaat"	"Formeel Kader Aanstelling"	"{8BFA05BF-1B57-4a65-9328-8F644FA2D5ED}"	"Legale Resource"	""	""	""	"Formeel Kader Aanstelling"	"Het geheel van regelgeving, rechtshandelingen en beleidskeuzes waardoor de invulling van een of meerdere mandaten door een persoon vanaf een bepaalde datum (tijdelijk) start."	""	""	"false"	"http://data.vlaanderen.be/ns/mandaat#"	"FormeelKaderAanstelling"	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	"http://purl.org/vocab/cpsv#FormalFramework, http://data.europa.eu/eli/ontology#LegalResource"	""	""
"CLASS"	"Mandaat"	"Formeel Kader Beëindiging"	"{691D8C91-FC05-425d-A1C0-0382E00B4AE2}"	"Legale Resource"	""	""	""	"Formeel Kader Beëindiging"	"Het geheel van regelgeving, rechtshandelingen en beleidskeuzes waardoor de invulling van een of meerdere mandaten door een persoon vanaf een bepaalde datum (tijdelijk) beëindigd worden."	""	""	"false"	"http://data.vlaanderen.be/ns/mandaat#"	"FormeelKaderBeeindiging"	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	"http://purl.org/vocab/cpsv#FormalFramework, http://data.europa.eu/eli/ontology#LegalResource"	""	""
"CLASS"	"Mandaat"	"Bestuursorgaan (in bestuursperiode)"	"{32ABCF93-B479-4510-BF0D-C8C368CBF026}"	"Tijdsgebonden Entiteit"	""	""	""	"Bestuursorgaan (in bestuursperiode)"	"Een bestuursorgaan, beperkt tot een bepaalde bestuursperiode."	""	""	"true"	"http://data.vlaanderen.be/ns/mandaat#"	"Bestuursorgaan"	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	"http://data.vlaanderen.be/ns/mandaat#TijdsgebondenEntiteit"	""	""
"CLASS"	"External"	"Tijdsinterval"	"{6E912EDC-E7A2-4bb4-A151-4099A7040C5F}"	""	""	""	""	"Tijdsinterval"	"Een periode van tijd."	""	""	"true"	"http://purl/org/dc/terms/"	"PeriodOfTime"	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	""	""	""
"CLASS"	"External"	"Legale Resource"	"{FB821B56-20B4-47ed-9CEC-18B0B7D2EF86}"	""	""	""	""	"Legale Resource"	"Een legaal concept dat los staat van een bepaalde vorm (het achterliggende idee). Een legale resource kan zowel een geheel (bvb: wet, besluit) voorstellen als een onderdeel eruit (bvb: artikel)."	""	""	"true"	"http://data.europa.eu/eli/ontology#"	"LegalResource"	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	""	""	""
"CLASS"	"External"	"Lidmaatschap"	"{0430B7BD-3A40-45ed-86EC-75A0756687A9}"	""	""	""	""	"Lidmaatschap"	"Stelt het lidmaatschap van de mandataris in de fractie voor."	""	""	"true"	"http://www.w3.org/ns/org#"	"Membership"	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	""	""	""
"CLASS"	"External"	"Persoon"	"{DEA80177-6D8A-4684-9AEB-FD5837C863FA}"	""	""	""	""	"Persoon"	"Een niet-fictief persoon."	""	""	"true"	"http://www.w3.org/ns/person#"	"Person"	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	"http://xmlns.com/foaf/0.1/Agent"	""	""
"CLASS"	"External"	"Entiteit"	"{33E9E447-3C28-4db0-864E-39DFDC3283AE}"	""	""	""	""	"Entiteit"	"Een fysiek, digitaal, conceptueel of andere soort ding met bepaalde vaste aspecten; entiteiten kunnen echt of denkbeeldig zijn."	"Disjunct met activiteit."	""	"true"	"http://www.w3.org/ns/prov#"	"Entity"	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	""	""	""
