"EA-Type"	"EA-Package"	"EA-Name"	"EA-GUID"	"EA-Parent"	"EA-Domain"	"EA-Domain-GUID"	"EA-Range"	"ap-label-nl"	"ap-definition-nl"	"ap-usageNote-nl"	"ap-codelist"	"external term"	"namespace"	"localname"	"type"	"domain"	"range"	"parent"	"min card"	"max card"
"Package"	""	"OSLO-Persoon"	"{9DA9BC7B-A502-4280-BBED-CF2E7C842776}"	""	""	""	""	""	""	""	""	""	"http://data.vlaanderen.be/ns/"	"persoon"	"http://www.w3.org/2002/07/owl#Ontology"	""	""	""	""	""
"ENUMERATION"	"OSLO-Persoon"	"BurgerlijkeStaatType"	"{B15F30FA-A41B-4fbb-B6AF-EF28FF1AC54E}"	""	""	""	""	""	"Aard vd burgerlijke staat ve persoon."	" "	""	"true"	"http://www.w3.org/2004/02/skos/core#"	"Concept"	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	""	""	""
"ENUMERATION"	"OSLO-Persoon"	"Gezinsrelatietype"	"{F7124F9C-B201-4bbd-B32A-92FDE4674124}"	""	""	""	""	""	"Aard vd gezinsrelatie tussen twee personen."	" "	""	"true"	"http://www.w3.org/2004/02/skos/core#"	"Concept"	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	""	""	""
"ENUMERATION"	"OSLO-Persoon"	"Afstammingstype"	"{73CBE8CC-FD89-425f-8566-4907DDDCFAA1}"	""	""	""	""	""	"Aard vd afstamming tussen twee personen."	" "	""	"true"	"http://www.w3.org/2004/02/skos/core#"	"Concept"	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	""	""	""
"CLASS"	"OSLO-Persoon"	"Persoonsgebeurtenis"	"{1367DABF-E383-451b-B99C-61927D8C4BB7}"	""	""	""	""	"Persoonsgebeurtenis"	"Belangrijke gebeurtenis ih leven ve persoon."	" "	""	"false"	"http://data.vlaanderen.be/ns/persoon#"	"Persoonsgebeurtenis"	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	""	""	""
"CLASS"	"OSLO-Organisatie"	"Organisatie"	"{5F8AAF29-89A4-4bf1-B6F7-0DEC6171AED6}"	""	""	""	""	"Organisatie"	"Een aantal mensen georganiseerd in een gemeenschap of andere sociale, commerciële of politieke structuur. De groep heeft een gemeenschappelijk doel of bestaanreden die de individuele leden ervan overstijgt en kan handelen als Agent. Een organisatie heeft dikwijls een hiërarchische structuur."	""	""	"true"	"http://www.w3.org/ns/org#"	"Organization"	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	"http://www.w3.org/2000/01/rdf-schema#Resource, http://purl.org/dc/terms/Agent"	""	""
"ENUMERATION"	"OSLO-Persoon"	"Geslacht"	"{AFEADC8C-6EA5-43aa-B518-44B201827911}"	""	""	""	""	""	"Het feit of men een man of een vrouw is."	" "	"http://publications.europa.eu/mdr/authority/human-sex/"	"true"	"http://www.w3.org/2004/02/skos/core#"	"Concept"	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	""	""	""
"CLASS"	"OSLO-Persoon"	"Gezinsrelatie"	"{9ED7B2CA-5F4D-4591-B16D-8CE0398085F4}"	"Persoonsrelatie"	""	""	""	"Gezinsrelatie"	"Relatie tussen leden van eenzelfde gezin."	"Bv echtgenoot, zoon, schoonmoeder."	""	"false"	"http://data.vlaanderen.be/ns/persoon#"	"Gezinsrelatie"	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	"http://data.vlaanderen.be/ns/persoon#Persoonsrelatie"	""	""
"CLASS"	"OSLO-Persoon"	"BurgerlijkeStaat"	"{E12D29AC-62A7-4b7a-A4B5-948D6FFDB40E}"	""	""	""	""	"Burgerlijke Staat"	"Burgerrechtelijke toestand van een persoon."	"Slaat op huwelijk, partnerregistratie, afstamming, voogdij etc. Is maw de toestand van bepaalde verhoudingen tussen personen."	""	"false"	"http://data.vlaanderen.be/ns/persoon#"	"BurgerlijkeStaat"	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	""	""	""
"CLASS"	"OSLO-Persoon"	"Voogdij"	"{6EA567A1-A34A-4a9a-B236-9462219AA989}"	"Persoonsrelatie"	""	""	""	"Voogdij"	"Situatie waarbij een persoon die optreedt als voogd ve ander persoon en in die hoedanigheid instaat voor deze persoon en zijn goederen."	"Dit is bv het geval voor minderjarigen die hun ouders zijn verloren of voor meerderjarigen die hun verstandelijke vermogens zijn verloren."	""	"false"	"http://data.vlaanderen.be/ns/persoon#"	"Voogdij"	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	"http://data.vlaanderen.be/ns/persoon#Persoonsrelatie"	""	""
"CLASS"	"OSLO-Persoon"	"Samenwonen"	"{ADF14A72-93D4-4305-BAE7-D21FF167C213}"	"Persoonsrelatie"	""	""	""	"Samenwonen"	"Regeling waarbij twee personen die niet getrouwd zijn samenleven."	"Kan, net als bv een huwelijk, de basis vormen van een gezin."	""	"false"	"http://data.vlaanderen.be/ns/persoon#"	"Samenwonen"	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	"http://data.vlaanderen.be/ns/persoon#Persoonsrelatie"	""	""
"CLASS"	"OSLO-Persoon"	"Huwelijk"	"{DD46B871-D9CC-4c52-81A8-588A7AC8AA61}"	"Persoonsrelatie"	""	""	""	"Huwelijk"	"Een door burgerlijk of religieus recht geregelde samenlevingsvorm van twee personen."	"Kan, net als bv samenwonen, de basis vormen van een gezin."	""	"false"	"http://data.vlaanderen.be/ns/persoon#"	"Huwelijk"	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	"http://data.vlaanderen.be/ns/persoon#Persoonsrelatie"	""	""
