"EA-Type"	"EA-Package"	"EA-Name"	"EA-GUID"	"EA-Parent"	"EA-Domain"	"EA-Domain-GUID"	"EA-Range"	"ap-label-nl"	"ap-definition-nl"	"ap-usageNote-nl"	"ap-codelist"	"external term"	"namespace"	"localname"	"type"	"domain"	"range"	"parent"	"min card"	"max card"
"Package"	""	"OSLO²_applicatieprofiel_Melding"	"{FF3AE394-B0A2-4dcd-A4D6-DB3C9586B96F}"	""	""	""	""	""	""	""	""	""	"http://data.vlaanderen.be/ns/"	"melding"	"http://www.w3.org/2002/07/owl#Ontology"	""	""	""	""	""
"DATATYPE"	"OSLO²_applicatieprofiel_Melding"	"Status"	"{8589A8F3-A406-4e92-A531-3A758824FF1B}"	""	""	""	""	"Status"	"De Status van de Melding in het verwerkingsproces op een bepaald tijdstip."	"De Melding kan gelinkt zijn aan meerdere Status objecten, elk ervan geeft de status op een bepaald tijdstip weer."	""	"false"	"http://data.vlaanderen.be/ns/melding#"	"Status"	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	""	""	""
"CLASS"	"OSLO²_applicatieprofiel_Melding"	"Datatype"	"{95B5B3E7-100D-4a09-A2ED-55979797F1E0}"	""	""	""	""	"label"	"Een label voor het datatype."	""	""	"true"	"http://www.w3.org/2000/01/rdf-schema#"	"label"	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	""	""	""
"ENUMERATION"	"OSLO²_applicatieprofiel_Melding"	"Datatype"	"{3C86D18D-002F-43b1-A5DC-A49D0B97D913}"	""	""	""	""	"Datatype"	"De klasse voor RDF datatypes."	""	""	"true"	"http://www.w3.org/2000/01/rdf-schema#"	"Datatype"	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	""	""	""
"DATATYPE"	"OSLO²_applicatieprofiel_Melding"	"MeldingsobjectAttribuut"	"{9CA20D2B-C2A1-455d-BE55-E2B01E42F8DA}"	""	""	""	""	"Meldingsobject Attribuut"	"Beschrijft een attribuut van het Meldingsobject."	""	""	"false"	"http://data.vlaanderen.be/ns/melding#"	"MeldingsobjectAttribuut"	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	""	""	""
"CLASS"	"OSLO²_applicatieprofiel_Melding"	"Concept"	"{7668EF6F-5413-4db9-9BDB-1B2519586394}"	""	""	""	""	"Concept"	"Een abstract idee of notie; een gedachtegang."	"Een skos:Concept stelt de waarden uit een codelijst voor."	""	"true"	"http://www.w3.org/2004/02/skos/core#"	"Concept"	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	""	""	""
"DATATYPE"	"OSLO²_applicatieprofiel_Melding"	"MeldingBody"	"{C296C884-E27B-4705-B5B9-58137E8FA0EB}"	""	""	""	""	"Melding Body"	"De body van de Melding, deze omvat relevante informatie voor de verdere afhandeling van een melding.
"	""	""	"false"	"http://data.vlaanderen.be/ns/melding#"	"MeldingBody"	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	""	""	""
"CLASS"	"OSLO²_applicatieprofiel_Melding"	"Participatie"	"{450E4E69-E3B5-47d6-B53D-DF488919CDA0}"	""	""	""	""	"Participatie"	"De klasse Participatie wordt gebruikt om informatie weer te geven met betrekking tot de rol van een Agent in de creatie of behandeling van de Melding."	"Deze klasse laat toe om alle actoren (Agents) van de melding een rol toe te kennen, bv. Indiener, behandelaar, validator, etc."	""	"true"	"http://data.europa.eu/m8g/"	"Participation"	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	""	""	""
"CLASS"	"OSLO²_applicatieprofiel_Melding"	"Persoon"	"{EE86898E-64B4-499a-A8BD-67EFF24601FD}"	"Agent"	""	""	""	"Persoon"	"Natuurlijk persoon."	""	""	"true"	"http://www.w3.org/ns/person#"	"Person"	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	"http://purl.org/dc/terms/Agent"	""	""
"ENUMERATION"	"OSLO²_applicatieprofiel_Melding"	"ParticipatieRol"	"{8FEA474A-C8A6-4d51-9DBF-CF6657610167}"	""	""	""	""	"Rol"	"De Rol die een Agent speelt in met betrekking tot de Melding.
"	""	""	"false"	"http://data.vlaanderen.be/ns/melding#"	"ParticipatieRol"	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	""	""	""
"CLASS"	"OSLO²_applicatieprofiel_Melding"	"Organisatie"	"{DB833804-70E1-449b-AC92-334968662179}"	"Agent"	""	""	""	"Organisatie"	"Een aantal mensen georganiseerd in een gemeenschap of andere sociale, commerciële of politieke structuur. De groep heeft een gemeenschappelijk doel of bestaanreden die de individuele leden ervan overstijgt en kan handelen als Agent. Een organisatie heeft dikwijls een hiërarchische structuur."	""	""	"true"	"https://www.w3.org/ns/org#"	"Organization"	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	"http://purl.org/dc/terms/Agent"	""	""
