"EA-Type"	"EA-Package"	"EA-Name"	"EA-GUID"	"EA-Parent"	"EA-Domain"	"EA-Domain-GUID"	"EA-Range"	"ap-label-nl"	"ap-definition-nl"	"ap-usageNote-nl"	"ap-codelist"	"external term"	"namespace"	"localname"	"type"	"domain"	"range"	"parent"	"min card"	"max card"
"Package"	""	"OSLO²_applicatieprofiel_Subsidieregister"	"{4252550B-C0C6-4cda-96B6-5145F19300A2}"	""	""	""	""	""	""	""	""	""	"http://data.vlaanderen.be/ns/"	"subsidie"	"http://www.w3.org/2002/07/owl#Ontology"	""	""	""	""	""
"CLASS"	"OSLO²_applicatieprofiel_Subsidieregister"	"FormeelKader"	"{0B844055-C037-4b7c-B933-60A7F83A044D}"	""	""	""	""	"Formeel Kader"	"Geheel van formele documenten dat regels, rechten, plichten ten aanzien van burgers, overheden, bedrijven etc beschrijft. "	"De documenten waarvan sprake zijn wetten, beleidsdocumenten, regulaties, contracten ed."	""	"true"	"http://purl.org/vocab/cpsv#"	"FormalFramework"	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	""	""	""
"ENUMERATION"	"OSLO²_applicatieprofiel_Subsidieregister"	"CriteriumVereisteType"	"{68889716-4AE5-4131-8BF5-A7AC7D72023E}"	""	""	""	""	""	"TODO"	""	""	"true"	"http://www.w3.org/2004/02/skos/core#"	"Concept"	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	""	""	""
"ENUMERATION"	"OSLO²_applicatieprofiel_Subsidieregister"	"BewijsType"	"{674E8A99-A1F2-4b86-BC45-BAF23AC09A24}"	""	""	""	""	""	"TODO"	""	""	"true"	"http://www.w3.org/2004/02/skos/core#"	"Concept"	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	""	""	""
"ENUMERATION"	"OSLO²_applicatieprofiel_Subsidieregister"	"ATU"	"{1AEC3386-B300-47ff-AE73-80684D52DEB4}"	""	""	""	""	""	"TODO"	""	"ttp://publications.europa.eu/mdr/authority/atu/index.html"	"true"	"http://www.w3.org/2004/02/skos/core#"	"Concept"	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	""	""	""
"ENUMERATION"	"OSLO²_applicatieprofiel_Subsidieregister"	"ADMSStatusVocabularium"	"{697526C0-E4AE-4ed5-A888-E18BC83F7101}"	""	""	""	""	""	"TODO"	""	" http://purl.org/adms/status/"	"true"	"http://www.w3.org/2004/02/skos/core#"	"Concept"	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	""	""	""
"ENUMERATION"	"OSLO²_applicatieprofiel_Subsidieregister"	"OutputType"	"{7394E38C-D03E-485a-851C-CFFD0BD47F6E}"	""	""	""	""	""	"TODO"	""	"http://joinup.ec.europa.eu/asset/cpsv-ap/Distribution/CPSV-AP_Specification_v2.0/PDF"	"true"	"http://www.w3.org/2004/02/skos/core#"	"Concept"	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	""	""	""
"DATATYPE"	"OSLO²_applicatieprofiel_Subsidieregister"	"Adresvoorstelling"	"{22CDDDF3-DBD8-4f39-A072-49E27BC88330}"	""	""	""	""	"Adresvoorstelling"	"Meer leesbare voorstelling met enkel de basisgegevens van het adres, bedoeld voor het gebruik van een adres als attribuut van een ander object."	"Bv als attribuut ve persoon of gebouw De adresvoorstelling heeft niet enkel betrekking op Belgische adressen, ze kan gebruikt worden om buitenlandse adressen weer te geven (waar mogelijk andere adresaanduidingen dan huisnummer of busnummer worden gebruikt of waar adrescomponenten zoals adresgebieden voorkomen)."	""	"true"	"http://www.w3.org/ns/locn#"	"Address"	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	""	""	""
"DATATYPE"	"OSLO²_applicatieprofiel_Subsidieregister"	"ContactInfo"	"{EC16DE19-EE96-4d24-A5DB-33E9AA9E9898}"	""	""	""	""	"Contactpunt"	"Informatie zoals email, telefoon, adres die toelaat om iemand of iets te contacteren."	"Bvb een persoon of organisatie of dienstverlening Mogelijke vormen van contact: bellen, mailen etc."	""	"true"	"http://schema.org/"	"ContactPoint"	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	""	""	""
"ENUMERATION"	"OSLO²_applicatieprofiel_Subsidieregister"	"COFOG"	"{F63A4F61-8CD0-43b7-8DD6-6610D4230E49}"	""	""	""	""	""	"TODO"	""	"https://unstats.un.org/unsd/cr/registry/regcst.asp?Cl=4"	"true"	"http://www.w3.org/2004/02/skos/core#"	"Concept"	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	""	""	""
