"EA-Type"	"EA-Package"	"EA-Name"	"EA-GUID"	"EA-Parent"	"EA-Domain"	"EA-Domain-GUID"	"EA-Range"	"ap-label-nl"	"ap-definition-nl"	"ap-usageNote-nl"	"ap-codelist"	"external term"	"namespace"	"localname"	"type"	"domain"	"range"	"parent"	"min card"	"max card"
"Package"	""	"Melding"	"{FF3AE394-B0A2-4dcd-A4D6-DB3C9586B96F}"	""	""	""	""	""	""	""	""	""	"http://data.vlaanderen.be/ns/"	"melding"	"http://www.w3.org/2002/07/owl#Ontology"	""	""	""	""	""
"DATATYPE"	"Melding"	"Meldingstatus"	"{8589A8F3-A406-4e92-A531-3A758824FF1B}"	""	""	""	""	"Status"	"De Status van de Melding in het verwerkingsproces op een bepaald tijdstip."	"De Melding kan gelinkt zijn aan meerdere Status objecten, elk ervan geeft de status op een bepaald tijdstip weer."	""	"false"	"http://data.vlaanderen.be/ns/melding#"	"Meldingstatus"	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	""	""	""
"DATATYPE"	"Melding"	"MeldingsobjectAttribuut"	"{9CA20D2B-C2A1-455d-BE55-E2B01E42F8DA}"	""	""	""	""	"Meldingsobject Attribuut"	"Beschrijft een attribuut van het Meldingsobject."	""	""	"false"	"http://data.vlaanderen.be/ns/melding#"	"MeldingsobjectAttribuut"	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	""	""	""
"CLASS"	"Melding"	"Concept"	"{7668EF6F-5413-4db9-9BDB-1B2519586394}"	""	""	""	""	"Concept"	"Een mogelijke waarde voor de Eigenschap."	"Het is aangeraden de mogelijke waarden voor de stellen als een skos:ConceptScheme (https://www.w3.org/TR/skos-primer/)"	""	"true"	"http://www.w3.org/2004/02/skos/core#"	"Concept"	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	""	""	""
"DATATYPE"	"Melding"	"MeldingBody"	"{C296C884-E27B-4705-B5B9-58137E8FA0EB}"	""	""	""	""	"Melding Body"	"De body van de Melding, deze omvat relevante informatie voor de verdere afhandeling van een melding.
"	""	""	"false"	"http://data.vlaanderen.be/ns/melding#"	"MeldingBody"	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	""	""	""
"CLASS"	"Melding"	"Persoon"	"{EE86898E-64B4-499a-A8BD-67EFF24601FD}"	"Agent"	""	""	""	"Persoon"	"Natuurlijk persoon."	""	""	"true"	"http://www.w3.org/ns/person#"	"Person"	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	"http://purl.org/dc/terms/Agent"	""	""
"CLASS"	"Melding"	"Organisatie"	"{DB833804-70E1-449b-AC92-334968662179}"	"Agent"	""	""	""	"Organisatie"	"Een aantal mensen georganiseerd in een gemeenschap of andere sociale, commerciële of politieke structuur. De groep heeft een gemeenschappelijk doel of bestaanreden die de individuele leden ervan overstijgt en kan handelen als Agent. Een organisatie heeft dikwijls een hiërarchische structuur."	""	""	"true"	"https://www.w3.org/ns/org#"	"Organization"	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	"http://purl.org/dc/terms/Agent"	""	""
"CLASS"	"Melding"	"Eigenschap"	"{AB1D8C46-6F25-4c61-BB24-F64E4F28B445}"	""	""	""	""	"Eigenschap"	"De klasse voor het beschrijven van de data velden waaruit een dataset bestaat."	"In het kader van meldingen met betrekking op informatievelden met foutieve of ontbrekende gegevens kan de Eigenschap klasse gebruikt worden om voor elke Dataset weer te geven op welke informatievelden kan teruggemeld worden. Elke Eigenschap kan worden toegewezen aan een andere Organisatie die verantwoordelijk is voor het verwerken van de feedback.
"	""	"false"	"http://data.vlaanderen.be/ns/melding#"	"Eigenschap"	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	"http://www.w3.org/ns/prov#Entity, f7e903a:16423d93f82:-7fff"	""	""
"CLASS"	"Melding"	"Hoedanigheid"	"{526A6F4F-949B-4cd1-B6DC-0FF1A8513CB4}"	"Agent"	""	""	""	"Hoedanigheid"	"Agent met een Functie."	"Laat een Functie toe om te handelen,bv ihkv een Dienstverlening (bv diversiteitsplan wordt opgemaakt door diversieteitsambtenaar)."	""	"true"	"http://data.vlaanderen.be/ns/organisatie#"	"Hoedanigheid"	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	"http://purl.org/dc/terms/Agent"	""	""
"CLASS"	"Melding"	"Agent"	"{9085EC61-BE57-4c4a-B415-A28062CA28F1}"	""	""	""	""	"Agent"	"Iemand die of iets dat kan handelen of een effect kan teweeg brengen."	""	""	"true"	"http://purl.org/dc/terms/"	"Agent"	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	""	""	""
