"EA-Type"	"EA-Package"	"EA-Name"	"EA-GUID"	"EA-Parent"	"EA-Domain"	"EA-Domain-GUID"	"EA-Range"	"ap-label-nl"	"ap-definition-nl"	"ap-usageNote-nl"	"ap-codelist"	"external term"	"namespace"	"localname"	"type"	"domain"	"range"	"parent"	"min card"	"max card"
"Package"	""	"OSLO-Transactie"	"{A41F54BD-3A5E-49d0-A493-8312A712F5A0}"	""	""	""	""	""	""	""	""	""	"http://data.vlaanderen.be/ns/"	"dienst"	"http://www.w3.org/2002/07/owl#Ontology"	""	""	""	""	""
"CLASS"	"OSLO-Transactie"	"PubliekeDienstverlening (aanbod)"	"{F687F2A7-F35E-4168-9395-AF275871FA7B}"	""	""	""	""	"Publieke Dienstverlening (aanbod)"	"Een publieke dienstverlening is een geheel van verplichte of optioneel uitgevoerde of uitvoerbare acties door of in naam van een publieke organisatie. De dienstverlening is ten bate van een individu, een bedrijf, een andere publieke organisatie of groepen hiervan."	"De dienstverlening zoals beschreven door het dienstverleningsregister."	""	"true"	"http://purl.org/vocab/cpsv#"	"PublicService"	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	""	""	""
"CLASS"	"OSLO-Transactie"	"Status"	"{773FD1D5-D3EB-47c8-818F-9DB11A57995A}"	""	""	""	""	"Status"	"De status van de afname van de publieke dienstverlening."	""	""	"false"	"http://data.vlaanderen.be/ns/dienst#"	"Status"	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	""	""	""
"CLASS"	"OSLO-Transactie"	"Participatie"	"{8F5DDC47-CF4F-45f0-8249-0F06E8632960}"	""	""	""	""	"Participatie"	"Deelname aan een publieke dienstverlening door een agent."	"Aanvullend op de standaard associatie van een publieke dienstverlening met de uitvoerder of de bevoegde instantie van een publieke dienstverlening biedt participatie de mogelijkheid om deze of andere relaties gedetailleerder te beschrijven. Bv start- en einddatum van een contract, meerdere rollen voor eenzelfde participatie (bv de dienstverlener is tegelijk ook de bevoegde instantie)."	""	"true"	"http://data.europa.eu/m8g/"	"Participation"	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	""	""	""
"DATATYPE"	"OSLO-Transactie"	"Kost"	"{83492F8B-ADFD-4236-B6CA-723CBDB9D457}"	""	""	""	""	"Kost"	"Deel vd kost verbonden aan de uitvoering van de dienstverlening te betalen door de gebruiker."	" "	""	"true"	"http://data.europa.eu/m8g/"	"Cost"	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	""	""	""
"CLASS"	"OSLO-Transactie"	"Hoedanigheid"	"{400DBC4E-389C-4b8a-9917-D90588C5A1A5}"	"Agent"	""	""	""	"Hoedanigheid"	"Agent met een positie."	"Laat een functie toe om te handelen,bv ihkv een dienstverlening (bv diversiteitsplan wordt opgemaakt door diversiteitsambtenaar)."	""	"true"	"http://data.vlaanderen.be/ns/organisatie#"	"Hoedanigheid"	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	"http://purl.org/dc/terms/Agent"	""	""
"CLASS"	"OSLO-Transactie"	"Organisatie"	"{AADBC48B-BF22-410e-B780-50E923E250FC}"	"Agent"	""	""	""	"Organisatie"	"Een aantal mensen georganiseerd in een gemeenschap of andere sociale, commerciële of politieke structuur. De groep heeft een gemeenschappelijk doel of bestaanreden die de individuele leden ervan overstijgt en kan handelen als Agent. Een organisatie heeft dikwijls een hiërarchische structuur."	""	""	"true"	"https://www.w3.org/ns/org#"	"Organization"	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	"http://purl.org/dc/terms/Agent"	""	""
"CLASS"	"OSLO-Transactie"	"Agent"	"{E6B45DA1-0F01-4d93-AB40-24074877B3F3}"	""	""	""	""	"Agent"	"Een resource die handelingen kan stellen. Voorbeelden van Agent zijn: persoon,organisatie,publieke organisatie en hoedanigheid."	""	""	"true"	"http://purl.org/dc/terms/"	"Agent"	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	""	""	""
"CLASS"	"OSLO-Transactie"	"Bewijs"	"{5CBEB792-4855-42df-9114-388560EA635D}"	""	""	""	""	"Bewijs"	"Een bewijs is elk middel dat gebruikt kan worden om het beantwoorden van een bepaalde criterium vereiste te staven. De klasse bevat informatie dat bewijst dat een bepaalde criterium vereiste bestaat of voldaan is."	"In de context van publieke dienstverlening neemt bewijs vaak de vorm aan van een administratief document of een ingevuld aanvraagformulier. Maar een bewijs kan ook de vorm aannemen van een specifiek stuk informatie (bv. leeftijd) dat wordt bijgehouden in een authentieke bron. Een publieke dienst kan bepaalde bewijzen of combinaties van bewijzen vereisen vooraleer deze kan afgeleverd worden aan de consument. In sommige gevallen kan de output van een dienstverlening dienen als bewijs voor een andere dienstverlening. Deze relaties zijn typisch opgenomen in het formeel kader en de bijhorende richtlijnen van een publieke dienst."	""	"true"	"http://data.europa.eu/m8g/"	"Evidence"	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	""	""	""
"CLASS"	"OSLO-Transactie"	"Output"	"{8D228667-CD5E-41a2-B2E2-03775B788AFC}"	""	""	""	""	"Output"	"Resultaat van een Publieke Dienstverlening. Officieel document of ander artefact van de bevoegde instantie (Publieke Organisatie) dat een Agent"	"Bv toelating verstrekt door of in naam van de bevoegde instantie (Publieke Organisatie) dat een Agent  toelaat om iets bepaald te ondernemen. Eventueel vormt deze Output het noodzakelijk Bewijs, voor te leggen om gebruik te kunnen maken van een Andere Dienstverlening. Dit kan verder gedocumenteerd worden in de Richtlijn geassocieerd met de Publieke Dienstverlening."	""	"true"	"http://data.europa.eu/m8g/"	"Output"	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	""	""	""
